U+3CD1	㳑
U+3CD2	㳒
U+3CD6	㳖
U+3CD7	㳗
U+3CDA	㳚
U+3CDB	㳛
U+3CDC	㳜
U+3CE7	㳧
U+3CE9	㳩
U+3CEB	㳫
U+3CED	㳭
U+3CEE	㳮
U+3CF0	㳰
U+3CF6	㳶
U+3CF7	㳷
U+3CFA	㳺
U+3D00	㴀
U+3D01	㴁
U+3D02	㴂
U+3D04	㴄
U+3D07	㴇
U+3D08	㴈
U+3D09	㴉
U+3D0A	㴊
U+3D12	㴒
U+3D13	㴓
U+3D14	㴔
U+3D15	㴕
U+3D17	㴗
U+3D19	㴙
U+3D29	㴩
U+3D2A	㴪
U+3D2B	㴫
U+3D2D	㴭
U+3D30	㴰
U+3D37	㴷
U+3D45	㵅
U+3D46	㵆
U+3D4A	㵊
U+3D4D	㵍
U+3D4F	㵏
U+3D54	㵔
U+3D56	㵖
U+3D59	㵙
U+3D60	㵠
U+3D66	㵦
U+3D69	㵩
U+3D6A	㵪
U+3D6B	㵫
U+3D6C	㵬
U+3D71	㵱
U+3D75	㵵
U+3D76	㵶
U+3D78	㵸
U+3D7A	㵺
U+3D7B	㵻
U+3D7E	㵾
U+3D7F	㵿
U+3D80	㶀
U+3D84	㶄
U+3D88	㶈
U+3D8C	㶌
U+3D8F	㶏
U+3D94	㶔
U+3D97	㶗
U+3D9B	㶛
U+3D9C	㶜
U+3DA0	㶠
U+3DA1	㶡
U+3DA3	㶣
U+3DA6	㶦
U+3DA8	㶨
U+3DAB	㶫
U+3DAD	㶭
U+3DAF	㶯
U+3DB2	㶲
U+3DB5	㶵
U+3DBA	㶺
U+3DBC	㶼
U+3DBE	㶾
U+3DC2	㷂
U+3DC3	㷃
U+3DC4	㷄
U+3DC6	㷆
U+3DC8	㷈
U+3DC9	㷉
U+3DCA	㷊
U+3DCB	㷋
U+3DCF	㷏
U+3DD0	㷐
U+3DD1	㷑
U+3DD2	㷒
U+3DD4	㷔
U+3DD5	㷕
U+3DE4	㷤
U+3DEA	㷪
U+3DEF	㷯
